법정동명,매출(만원),업소수,유동인구,직장인 평균소득(만원),상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,반경내_가게수,지하철유동인구수
동산동,905,30.0,"25,062",313.0,MA010120220800241689,하이패션가람동산지점,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711014000,2711014000100940001,1,대지,94.0,1.0,대구광역시 중구 동산동 94-1,271103007001.0,대구광역시 중구 국채보상로,486.0,,2711014000100940001001430,,대구광역시 중구 국채보상로 486,700821,41931,,,,128.583909123063,35.8704637828556,0,11546
계산동2가,"2,244",141.0,"36,293",313.0,MA010120220800786690,띠어리,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711013900,2711013900102000000,1,대지,200.0,,대구광역시 중구 계산동2가 200,271102007002.0,대구광역시 중구 달구벌대로,2077.0,,2711013900102000000000001,현대백화점,대구광역시 중구 달구벌대로 2077,700082,41936,,3,,128.590635683154,35.8666363344097,0,11546
덕산동,"2,229",63.0,"21,648",307.0,MA010120220800678883,제시뉴욕,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711011200,2711011200100530003,1,대지,53.0,3.0,대구광역시 중구 덕산동 53-3,271102007002.0,대구광역시 중구 달구벌대로,2085.0,,2711011200100530003006516,동아쇼핑,대구광역시 중구 달구벌대로 2085,700717,41936,,3,,128.591851543249,35.8663419278142,1,11546
삼덕동1가,"3,917",55.0,"23,695",319.0,MA010120220800679487,에델바이스,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110545,삼덕동,2711010500,2711010500100340002,1,대지,34.0,2.0,대구광역시 중구 삼덕동1가 34-2,271104223085.0,대구광역시 중구 동성로3길,8.0,,2711010500100340002009021,,대구광역시 중구 동성로3길 8,700411,41942,,1,,128.597439072289,35.8657554531309,1,5762
삼덕동1가,"3,917",55.0,"23,695",319.0,MA010120220800646911,트윈스,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110545,삼덕동,2711010500,2711010500100220014,1,대지,22.0,14.0,대구광역시 중구 삼덕동1가 22-14,271104223087.0,대구광역시 중구 동성로5길,71.0,,2711010500100220014014224,,대구광역시 중구 동성로5길 71,700411,41941,,1,,128.59852490903,35.8673183496547,1,5762
덕산동,"2,229",63.0,"21,648",307.0,MA010120220800641987,들에핀꽃,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711011200,2711011200100880000,1,대지,88.0,,대구광역시 중구 덕산동 88,271102007002.0,대구광역시 중구 달구벌대로,2100.0,,2711015600109300001000001,반월당역,대구광역시 중구 달구벌대로 2100,700070,41957,,1,,128.593354331461,35.864432724458,1,11546
덕산동,"2,229",63.0,"21,648",307.0,MA010120220800804270,프리지아,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711011200,2711011200100880000,1,대지,88.0,,대구광역시 중구 덕산동 88,271102007002.0,대구광역시 중구 달구벌대로,2100.0,,2711015600109300001000001,반월당역,대구광역시 중구 달구벌대로 2100,700070,41957,,,,128.593354331461,35.864432724458,1,11546
계산동2가,"2,244",141.0,"36,293",313.0,MA010120220801138680,현대대구발리,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711013900,2711013900102000000,1,대지,200.0,,대구광역시 중구 계산동2가 200,271102007002.0,대구광역시 중구 달구벌대로,2077.0,,2711013900102000000000001,현대백화점,대구광역시 중구 달구벌대로 2077,700082,41936,,2,,128.590635683154,35.8666363344097,0,11546
화전동,"1,499",5.0,"3,934",306.0,MA010120220801137871,호수,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711015100,2711015100100460009,1,대지,46.0,9.0,대구광역시 중구 화전동 46-9,271102007001.0,대구광역시 중구 중앙대로,443.0,2.0,2711015100100460009006832,,대구광역시 중구 중앙대로 443-2,700100,41918,,,,128.594214187055,35.8728197850379,0,11546
교동,895,36.0,"6,735",317.0,MA010120220801837010,교동1층73호,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711012500,2711012500100670012,1,대지,67.0,12.0,대구광역시 중구 교동 67-12,271104223014.0,대구광역시 중구 교동길,40.0,,2711012500100670001000001,교동시장,대구광역시 중구 교동길 40,700801,41912,,1,,128.596797787313,35.8732666523219,0,34054
